date,cortarNo,py,change
2024-04,26140,934.3684210526316,-1.0142448920508529
2024-03,26140,943.9423076923077,3.3553604229201284
2024-02,26140,913.2978723404256,8.098781803721057
2024-01,26140,844.873417721519,-6.30277186205348
2023-12,26140,901.7058823529412,0.14154435782414154
2023-11,26140,900.4313725490196,5.457898360546332
2023-10,26140,853.8301886792453,7.440881754675033
2023-09,26140,794.6976744186046,-3.869639444336026
2023-08,26140,826.6875,2.679926856196535
2023-07,26140,805.1111111111111,-8.734806977769383
2023-06,26140,882.1666666666666,-0.9508109071466819
2023-05,26140,890.6349206349206,5.538910347656301
2023-04,26140,843.8924731182796,1.698607829185228
2023-03,26140,829.7974683544304,-6.229512376883795
2023-02,26140,884.9239130434783,2.868955017812902
2023-01,26140,860.2439024390244,1.7899582825674276
2022-12,26140,845.1166666666667,-11.62756246868396
2022-11,26140,956.3125,-0.6657914478619631
2022-10,26140,962.7222222222222,-1.9274458916458515
2022-09,26140,981.6428571428571,-7.158620068456134
2022-08,26140,1057.3333333333333,0.8037499503449341
2022-07,26140,1048.9027777777778,2.2892093124051938
2022-06,26140,1025.4285714285713,1.6219085962040358
2022-05,26140,1009.0625,3.1669519025604664
2022-04,26140,978.0869565217391,-0.5024646022591672
2022-03,26140,983.0263157894736,4.626372630590403
2022-02,26140,939.5588235294117,5.852229510418927
2022-01,26140,887.6136363636364,2.334303412278893
2021-12,26140,867.3666666666667,7.24307456798845
2021-11,26140,808.7857142857143,-11.565989522421049
2021-10,26140,914.5641025641025,7.358028888204271
2021-09,26140,851.8823529411765,8.450967911034567
2021-08,26140,785.5,-21.223517613137766
2021-07,26140,997.125,8.057894298099377
2021-06,26140,922.7692307692307,-8.826278947808452
2021-05,26140,1012.1,19.48174600832275
2021-04,26140,847.075,-12.346582984658294
2021-03,26140,966.3913043478261,3.1873434747476725
2021-02,26140,936.5405405405405,1.509505564192093
2021-01,26140,922.6136363636364,-6.122307395312165
2020-12,26140,982.7826086956521,1.6238783550176494
2020-11,26140,967.0784313725491,1.0900150599322922
2020-10,26140,956.6507936507936,2.0983623456459766
2020-09,26140,936.9893617021277,1.9799677267590798
2020-08,26140,918.7974683544304,6.548580499902323
2020-07,26140,862.3272727272728,1.0657369163179498
2020-06,26140,853.2340425531914,-1.663383493677506
2020-05,26140,867.6666666666666,12.403255273210423
2020-04,26140,771.9230769230769,-10.422941586376488
2020-03,26140,861.741935483871,6.360039910864135
2020-02,26140,810.2121212121212,7.558213598482055
2020-01,26140,753.2777777777778,-4.4565449809501505
2019-12,26140,788.4137931034483,7.565977116040923
2019-11,26140,732.9583333333334,11.842272576994484
2019-10,26140,655.35,-17.211975745325926
2019-09,26140,791.6,-6.129086904963577
2019-08,26140,843.2857142857143,20.63454218785925
2019-07,26140,699.0416666666666,0.5715549602288705
2019-06,26140,695.0689655172414,29.737557726036655
2019-05,26140,535.75,-25.371129507283285
2019-04,26140,717.8857142857142,-5.118586318910734
2019-03,26140,756.6136363636364,1.2130609266691073
2019-02,26140,747.5454545454545,1.8100733885709985
2019-01,26140,734.2549019607843,8.672706227281179
2018-12,26140,675.6571428571428,-12.362684874279884
2018-11,26140,770.969696969697,3.7209972305191963
2018-10,26140,743.3111111111111,1.8686980928628527
2018-09,26140,729.6756756756756,-11.528307843552565
2018-08,26140,824.7560975609756,9.291857284311922
2018-07,26140,754.6363636363636,-1.9822214686665562
2018-06,26140,769.8974358974359,-3.8829668043151133
2018-05,26140,801.0,-8.216500404421678
2018-04,26140,872.7058823529412,1.1499477296486704
2018-03,26140,862.7843137254902,6.744792729850313
2018-02,26140,808.2682926829268,3.9422428987419433
2018-01,26140,777.6129032258065,10.771068835584963
2017-12,26140,702.0,6.849315068493156
2017-11,26140,657.0,-14.406687656063411
2017-10,26140,767.5833333333334,8.21584788345444
2017-09,26140,709.3076923076923,36.63054062063418
2017-08,26140,519.1428571428571,-22.568523002421315
2017-07,26140,670.4545454545455,6.19660170874532
2017-06,26140,631.3333333333334,-2.2892887083252655
2017-05,26140,646.125,6.84167011161636
2017-04,26140,604.75,-13.740639486508977
2017-03,26140,701.0833333333334,4.203824811732071
2017-02,26140,672.8,-4.882186616399631
2017-01,26140,707.3333333333334,7.066749769981895
2016-12,26140,660.6470588235294,3.6851256327799176
2016-11,26140,637.1666666666666,-15.665853941716012
2016-10,26140,755.5263157894736,15.06206979470377
2016-09,26140,656.625,10.054472040225516
2016-08,26140,596.6363636363636,14.870304897259068
2016-07,26140,519.4,0.48581255374031684
2016-06,26140,516.8888888888889,-11.294167000362298
2016-05,26140,582.7,-10.169578622816022
2016-04,26140,648.6666666666666,-7.516268187468011
2016-03,26140,701.3846153846154,-8.834130709739995
2016-02,26140,769.35,20.587774294670847
2016-01,26140,638.0,2.489959839357425
2015-12,26140,622.5,5.998452012383915
2015-11,26140,587.2727272727273,0.05957345406886194
2015-10,26140,586.9230769230769,-3.966772251473638
2015-09,26140,611.1666666666666,-3.1891863350757665
2015-08,26140,631.3,-1.3813880830171876
2015-07,26140,640.1428571428571,16.480374317650103
2015-06,26140,549.5714285714286,-11.056593110180602
2015-05,26140,617.8888888888889,-0.5575015515373316
2015-04,26140,621.3529411764706,17.440945555308485
2015-03,26140,529.0769230769231,-6.297759558104099
2015-02,26140,564.6363636363636,-21.869914224839416
2015-01,26140,722.6875,24.963648510571403
2014-12,26140,578.3181818181819,-6.16354016354016
2014-11,26140,616.304347826087,-7.57415336465167
2014-10,26140,666.8095238095239,20.30068728522336
2014-09,26140,554.2857142857143,-11.614795409892075
2014-08,26140,627.125,-1.6660133281066303
2014-07,26140,637.75,45.826981707317074
2014-06,26140,437.3333333333333,-9.846766989624145
2014-05,26140,485.1,-16.217616580310878
2014-04,26140,579.0,-3.086096872057742
2014-03,26140,597.4375,2.15101367855397
2014-02,26140,584.8571428571429,7.38219826625226
2014-01,26140,544.65,4.780684878799546
2013-12,26140,519.8,2.5921052631578734
2013-11,26140,506.6666666666667,3.2258064516129004
2013-10,26140,490.8333333333333,-4.692556634304212
2013-09,26140,515.0,-4.208323645663803
2013-08,26140,537.625,10.05629477993859
2013-07,26140,488.5,-2.9470198675496606
2013-06,26140,503.3333333333333,-6.9839069839069845
2013-05,26140,541.125,19.059405940594054
2013-04,26140,454.5,-16.549824737105656
2013-03,26140,544.6363636363636,24.031560544718445
2013-02,26140,439.1111111111111,-22.32246398175993
2013-01,26140,565.3,14.728782287822861
2012-12,26140,492.72727272727275,-7.309495646225539
2012-11,26140,531.5833333333334,-3.9341270684950858
2012-10,26140,553.3529411764706,2.771838371857105
2012-09,26140,538.4285714285714,0.5468854208350082
2012-08,26140,535.5,3.159314197649765
2012-07,26140,519.1,-3.3333333333333326
2012-06,26140,537.0,0.966962127316684
2012-05,26140,531.8571428571429,5.52721088435375
2012-04,26140,504.0,5.000000000000004
2012-03,26140,480.0,-7.354733848029249
2012-02,26140,518.1052631578947,3.465853850802736
2012-01,26140,500.75,10.216434336023482
2011-12,26140,454.3333333333333,2.474198619369816
2011-11,26140,443.3636363636364,-7.869675856474534
2011-10,26140,481.2352941176471,6.33965920639048
2011-09,26140,452.54545454545456,44.76109520400857
2011-08,26140,312.61538461538464,-27.369126517238808
2011-07,26140,430.4166666666667,-5.379824132877387
2011-06,26140,454.8888888888889,47.359968989672474
2011-05,26140,308.6923076923077,-23.619372091474034
2011-04,26140,404.15,-10.288568257491681
2011-03,26140,450.5,21.6033831203887
2011-02,26140,370.46666666666664,23.201418911428885
2011-01,26140,300.7,-55.61623616236162
2024-12,26110,677.5,27.34962406015038
2024-11,26110,532.0,-20.06010518407213
2024-10,26110,665.5,-2.168320470415286
2024-09,26110,680.25,60.43632075471699
2024-08,26110,424.0,27.200000000000003
2024-07,26110,333.3333333333333,-42.40460763138949
2024-06,26110,578.75,52.90620871862615
2024-05,26110,378.5,-5.058528428093645
2024-04,26110,398.6666666666667,-17.117117117117107
2024-03,26110,481.0,6.8888888888889
2024-02,26110,450.0,1.5801354401805856
2024-01,26110,443.0,-6.144067796610164
2023-11,26110,472.0,-3.90227349847303
2023-10,26110,491.1666666666667,-4.442282749675741
